station_id,name,lat,lon,state,elevation,total_days,observed_days,pct_observed,first_date,last_date
1001,OOMBULGURRI,-15.181,127.846,WA,,9647,879,9.1,2000-01-01,2026-05-30
1005,WYNDHAM PORT,-15.464,128.1,WA,,9647,0,0.0,2000-01-01,2026-05-30
1006,WYNDHAM AERO,-15.51,128.15,WA,,9647,9263,96.0,2000-01-01,2026-05-30
1009,KURI BAY,-15.488,124.522,WA,,9647,4150,43.0,2000-01-01,2026-05-30
1010,THEDA,-14.789,126.496,WA,,9647,9308,96.5,2000-01-01,2026-05-30
1012,MITCHELL PLATEAU,-14.793,125.826,WA,,9647,0,0.0,2000-01-01,2026-05-30
1013,WYNDHAM,-15.487,128.124,WA,,9647,7768,80.5,2000-01-01,2026-05-30
1018,MOUNT ELIZABETH,-16.418,126.103,WA,,9647,7584,78.6,2000-01-01,2026-05-30
1019,KALUMBURU,-14.296,126.645,WA,,9647,9327,96.7,2000-01-01,2026-05-30
1021,KALUMBURU MISSION,-14.296,126.643,WA,,9647,1916,19.9,2000-01-01,2026-05-30
1025,DOONGAN,-15.38,126.311,WA,,9647,9366,97.1,2000-01-01,2026-05-30
2000,ALICE DOWNS,-17.757,127.939,WA,,9647,668,6.9,2000-01-01,2026-05-30
2001,ARGYLE DOWNS,-16.504,128.917,WA,,9647,5140,53.3,2000-01-01,2026-05-30
2002,BOHEMIA DOWNS,-18.883,126.233,WA,,9647,0,0.0,2000-01-01,2026-05-30
2003,BOW RIVER,-16.87,128.184,WA,,9647,0,0.0,2000-01-01,2026-05-30
2005,CARLTON HILL,-15.486,128.534,WA,,9647,7437,77.1,2000-01-01,2026-05-30
2007,DUNHAM RIVER STATION,-16.317,128.25,WA,,9647,0,0.0,2000-01-01,2026-05-30
2008,FLORA VALLEY OLD,-18.317,128.0,WA,,9647,0,0.0,2000-01-01,2026-05-30
2009,GIBB RIVER,-16.42,126.441,WA,,9647,8812,91.3,2000-01-01,2026-05-30
2010,GORDON DOWNS,-18.751,128.584,WA,,9647,0,0.0,2000-01-01,2026-05-30
2011,OLD HALLS CREEK,-18.252,127.782,WA,,9647,0,0.0,2000-01-01,2026-05-30
2012,HALLS CREEK METEOROLOGICAL OFFICE,-18.229,127.664,WA,,9647,6753,70.0,2000-01-01,2026-05-30
2013,IVANHOE STATION,-15.69,128.683,WA,,9647,3517,36.5,2000-01-01,2026-05-30
2014,KIMBERLEY RES.STATION,-15.655,128.709,WA,,9647,3683,38.2,2000-01-01,2026-05-30
2015,LAMBOO,-18.409,127.355,WA,,9647,424,4.4,2000-01-01,2026-05-30
2016,LISSADELL,-16.674,128.553,WA,,9647,2668,27.7,2000-01-01,2026-05-30
2017,LOUISA DOWNS,-18.711,126.711,WA,,9647,0,0.0,2000-01-01,2026-05-30
2018,MABEL DOWNS,-17.179,128.122,WA,,9647,1492,15.5,2000-01-01,2026-05-30
2019,MARGARET RIVER STATION,-18.625,126.862,WA,,9647,5186,53.8,2000-01-01,2026-05-30
2020,MOOLA BULLA,-18.189,127.501,WA,,9647,7076,73.3,2000-01-01,2026-05-30
2021,MOUNT AMHURST,-18.387,126.989,WA,,9647,9123,94.6,2000-01-01,2026-05-30
2023,NICHOLSON,-18.031,128.894,WA,,9647,7610,78.9,2000-01-01,2026-05-30
2024,ORD RIVER,-17.4,128.85,WA,,9647,0,0.0,2000-01-01,2026-05-30
2026,RUBY PLAINS,-18.596,127.642,WA,,9647,9432,97.8,2000-01-01,2026-05-30
2028,SPRING CREEK,-16.818,128.866,WA,,9647,6134,63.6,2000-01-01,2026-05-30
2029,STURT CREEK,-19.163,128.163,WA,,9647,8715,90.3,2000-01-01,2026-05-30
2030,YULMBU,-17.299,126.916,WA,,9647,8370,86.8,2000-01-01,2026-05-30
2031,TEXAS DOWNS,-17.01,128.467,WA,,9647,0,0.0,2000-01-01,2026-05-30
2032,WARMUN,-17.015,128.217,WA,,9647,9038,93.7,2000-01-01,2026-05-30
2033,TURNER RIVER,-17.8,128.3,WA,,9647,0,0.0,2000-01-01,2026-05-30
2038,KUNUNURRA,-15.783,128.735,WA,,9647,0,0.0,2000-01-01,2026-05-30
2041,ORD RIVER REGENERATION STATION,-17.385,128.923,WA,,9647,0,0.0,2000-01-01,2026-05-30
2044,LAKE ARGYLE RESORT,-16.112,128.741,WA,,9647,7095,73.5,2000-01-01,2026-05-30
2047,BEDFORD DOWNS,-17.263,127.462,WA,,9647,3329,34.5,2000-01-01,2026-05-30
2049,SOPHIE DOWNS,-18.195,127.815,WA,,9647,8836,91.6,2000-01-01,2026-05-30
2050,SPRINGVALE,-17.784,127.685,WA,,9647,6199,64.3,2000-01-01,2026-05-30
